lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
,4899,0.49146774411201477,40,,,,,,,,,,,,,,
,4919,,40,0.6356928944587708,19.89366340637207,5.626938343048096,2.1267168521881104,12.140008926391602,,,,,,,,,
,4919,,40,,,,,,18.04011344909668,5.167324066162109,2.482964038848877,10.389825820922852,,,,,
0.0001206772201827845,4920,,,,,,,,,,,,,,,,
,4949,0.47343337535858154,41,,,,,,,,,,,,,,
,4999,0.4586704969406128,41,,,,,,,,,,,,,,
,5039,,41,0.610200047492981,19.140451431274414,5.228178977966309,2.1267168521881104,11.785555839538574,,,,,,,,,
,5039,,41,,,,,,17.215011596679688,4.871731281280518,2.347689628601074,9.995591163635254,,,,,
9.639601130971376e-05,5040,,,,,,,,,,,,,,,,
,5049,0.4698146879673004,42,,,,,,,,,,,,,,
,5099,0.47673243284225464,42,,,,,,,,,,,,,,
,5149,0.48452988266944885,42,,,,,,,,,,,,,,
,5159,,42,0.6280105113983154,18.87461280822754,3.8989808559417725,3.212228536605835,11.763402938842773,,,,,,,,,
,5159,,42,,,,,,16.792652130126953,4.80812931060791,2.282897472381592,9.70162582397461,,,,,
7.460623790513092e-05,5160,,,,,,,,,,,,,,,,
,5199,0.4901338517665863,43,,,,,,,,,,,,,,
,5249,0.44216465950012207,43,,,,,,,,,,,,,,
,5279,,43,0.6051737070083618,19.16260528564453,4.8072662353515625,2.702702760696411,11.652636528015137,,,,,,,,,
,5279,,43,,,,,,16.044950485229492,4.522406578063965,2.299575090408325,9.222968101501465,,,,,
5.544224116791026e-05,5280,,,,,,,,,,,,,,,,
,5299,0.4915213882923126,44,,,,,,,,,,,,,,
,5349,0.4701443016529083,44,,,,,,,,,,,,,,
,5399,0.4873470366001129,44,,,,,,,,,,,,,,
,5399,,44,0.5915824770927429,18.49800682067871,5.20602560043335,2.1488702297210693,11.143110275268555,,,,,,,,,
,5399,,44,,,,,,15.869810104370117,4.532464981079102,2.2627978324890137,9.07454776763916,,,,,
3.902217351061226e-05,5400,,,,,,,,,,,,,,,,
,5449,0.3818680942058563,45,,,,,,,,,,,,,,
,5499,0.6348684430122375,45,,,,,,,,,,,,,,
,5519,,45,0.5968450307846069,18.409393310546875,4.364200115203857,2.4811697006225586,11.5640230178833,,,,,,,,,
,5519,,45,,,,,,15.583772659301758,4.403034210205078,2.25923490524292,8.921504020690918,,,,,
2.54472701105708e-05,5520,,,,,,,,,,,,,,,,
,5549,0.41810348629951477,46,,,,,,,,,,,,,,
,5599,0.4701874256134033,46,,,,,,,,,,,,,,
,5639,,46,0.5921210646629333,18.121400833129883,4.541426658630371,2.348249912261963,11.23172378540039,,,,,,,,,
,5639,,46,,,,,,15.398036003112793,4.44948148727417,2.2309224605560303,8.717631340026855,,,,,
1.4801224761360556e-05,5640,,,,,,,,,,,,,,,,
,5649,0.5076560974121094,47,,,,,,,,,,,,,,
,5699,0.4502295255661011,47,,,,,,,,,,,,,,
